Category,Count
Ordinary Drink,192
Cocktail,101
Shot,33
Punch / Party Drink,24
Other / Unknown,23
Coffee / Tea,23
Beer,7
Shake,7
Soft Drink,6
Homemade Liqueur,5
Cocoa,5
