Drink_ID,Drink_Name,Drink_Tags,Category,Alcoholic,Glass_Type,Instructions,strDrinkThumb,CreativeCommons,Date_Modified
17267,Bahama Mama,,Cocktail,Alcoholic,Highball glass,"Add 2 parts club soda or more or less to taste.

Mix it all together and pour over a bunch of ice. Drink with a straw.",https://www.thecocktaildb.com/images/media/drink/tyb4a41515793339.jpg,No,1/12/2018 21:42
17185,Casino,IBA,Ordinary Drink,Alcoholic,Cocktail glass,Pour all ingredients into shaker with ice cubes. Shake well. Strain into chilled cocktail glass. Garnish with a lemon twist and a maraschino cherry. Serve without a straw.,https://www.thecocktaildb.com/images/media/drink/1mvjxg1504348579.jpg,No,9/2/2017 11:36
14181,Cafe Savoy,,Coffee / Tea,Alcoholic,Coffee mug,Fill mug almost to top with coffee.Add milk triple sec and brandy. Stir.,https://www.thecocktaildb.com/images/media/drink/vqwptt1441247711.jpg,No,9/3/2015 3:35
11202,Caipirinha,ContemporaryClassicIBA,Ordinary Drink,Alcoholic,Old-fashioned glass,Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with ice and add the Cachaça.,https://www.thecocktaildb.com/images/media/drink/jgvn7p1582484435.jpg,Yes,7/21/2016 9:42
14608,Cream Soda,,Cocktail,Alcoholic,Highball glass,Pour 1oz of Spiced Rum into a highball glass with ice. Fill with Ginger Ale.,https://www.thecocktaildb.com/images/media/drink/yqstxr1479209367.jpg,No,11/15/2016 11:29
13751,Cuba Libra,,Ordinary Drink,Alcoholic,Highball glass,Fill tall glass with ice cubes. Add rum. Rub cut edge of lime on rim of glass then squeeze juice into glass. Fill with Coca-Cola. Garnish with lime slice. Enjoy!,https://www.thecocktaildb.com/images/media/drink/ck6d0p1504388696.jpg,No,9/2/2017 22:44
11239,Cherry Rum,,Ordinary Drink,Alcoholic,Cocktail glass,Shake all ingredients with ice strain into a cocktail glass and serve.,https://www.thecocktaildb.com/images/media/drink/twsuvr1441554424.jpg,No,9/6/2015 16:47
11288,Cuba Libre,IBAContemporaryClassic,Ordinary Drink,Alcoholic,Highball glass,Build all ingredients in a Collins glass filled with ice. Garnish with lime wedge.,https://www.thecocktaildb.com/images/media/drink/wmkbfj1606853905.jpg,Yes,9/6/2016 23:41
17830,Corn n Oil,,Cocktail,Alcoholic,Old-fashioned glass,Cut the half lime in half again. Add the lime falernum and bitters to a rocks glass. Muddle. Add the rum. (Aged Barbados rum such as Plantation 5 Year is recommended). Add ice and stir. Float the blackstrap rum on top. Serve with a straw.,https://www.thecocktaildb.com/images/media/drink/pk6dwi1592767243.jpg,No,6/27/2018 15:15
17135,Citrus Coke,,Soft Drink,Alcoholic,Highball Glass,Pour half of coke in a glass. Then add Bacardi and top it off with the remaining coke. Stir and drink up!,https://www.thecocktaildb.com/images/media/drink/uyrvut1479473214.jpg,No,11/18/2016 12:46
11222,Casa Blanca,,Ordinary Drink,Alcoholic,Cocktail glass,Shake all ingredients with ice strain into a cocktail glass and serve.,https://www.thecocktaildb.com/images/media/drink/usspxq1441553762.jpg,No,9/6/2015 16:36
17186,Clover Club,IBAClassic,Ordinary Drink,Alcoholic,Cocktail glass,Dry shake ingredients to emulsify add ice shake and served straight up.,https://www.thecocktaildb.com/images/media/drink/t0aja61504348715.jpg,No,9/2/2017 11:38
13206,Caipirissima,,Ordinary Drink,Alcoholic,Collins Glass,Same as Caipirinha but instead of cachaca you add WHITE RUM. It's great!!!!!!!!,https://www.thecocktaildb.com/images/media/drink/yd47111503565515.jpg,No,8/24/2017 10:05
11251,City Slicker,,Ordinary Drink,Alcoholic,Cocktail glass,In a shaker half-filled with ice cubes combine all of the ingredients. Shake well. Strain into a cocktail glass.,https://www.thecocktaildb.com/images/media/drink/dazdlg1504366949.jpg,No,9/2/2017 16:42
16047,Campari Beer,,Beer,Alcoholic,Beer mug,Use a 15 oz glass. Add Campari first. Fill with beer.,https://www.thecocktaildb.com/images/media/drink/xsqrup1441249130.jpg,No,9/3/2015 3:58
11242,Chicago Fizz,,Ordinary Drink,Alcoholic,Highball glass,Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water stir and serve.,https://www.thecocktaildb.com/images/media/drink/qwvwqr1441207763.jpg,No,9/2/2015 16:29
17196,Cosmopolitan,IBAContemporaryClassic,Cocktail,Alcoholic,Cocktail glass,Add all ingredients into cocktail shaker filled with ice. Shake well and double strain into large cocktail glass. Garnish with lime wheel.,https://www.thecocktaildb.com/images/media/drink/kpsajh1504368362.jpg,No,9/2/2017 17:06
12800,Coffee-Vodka,,Homemade Liqueur,Alcoholic,Collins Glass,Boil water and sugar until dissolved. Turn off heat. Slowly add dry instant coffee and continue stirring. Add a chopped vanilla bean to the vodka then combine the cooled sugar syrup and coffee solution with the vodka. Cover tightly and shake vigorously each day for 3 weeks. Strain and filter. Its also best to let the sugar mixture cool completely so the vodka won't evaporate when its added. If you like a smoother feel to the liqueur you can add about 1 teaspoon of glycerine to the finished product.,https://www.thecocktaildb.com/images/media/drink/qvrrvu1472667494.jpg,No,8/31/2016 19:18
11224,Casino Royale,,Ordinary Drink,Alcoholic,Whiskey sour glass,In a shaker half-filled with ice cubes combine all of the ingredients. Shake well. Strain into a sour glass.,https://www.thecocktaildb.com/images/media/drink/3qpv121504366699.jpg,No,9/2/2017 16:38
17250,Corpse Reviver,,Cocktail,Alcoholic,Cocktail glass,"Shake strain straight up cocktail glass rinsed with absinthe
",https://www.thecocktaildb.com/images/media/drink/gifgao1513704334.jpg,No,12/19/2017 17:25
13328,Chocolate Milk,,Shot,Alcoholic,Shot Glass,Put the milk in the bottom pour the Liquer on top and add the dash of amaretto. Do not mix. SLAM IT!,https://www.thecocktaildb.com/images/media/drink/j6q35t1504889399.jpg,No,9/8/2017 17:49
11255,Clove Cocktail,,Ordinary Drink,Alcoholic,Cocktail glass,Stir all ingredients with ice strain into a cocktail glass and serve.,https://www.thecocktaildb.com/images/media/drink/qxvtst1461867579.jpg,No,4/28/2016 19:19
12798,Coffee Liqueur,,Homemade Liqueur,Alcoholic,Collins Glass,Combine coffee sugar and water. Simmer 1 hour and let cool. Add vanilla and vodka. Age in sealed jar 2 to 3 weeks.,https://www.thecocktaildb.com/images/media/drink/ryvtsu1441253851.jpg,No,9/3/2015 5:17
17108,Coke and Drops,,Soft Drink,Non alcoholic,Cocktail glass,Take a glass pour the Coke in the glass then you take 7 drops of lemon juice. Granish with a lemon slice on the rim of the glass.,https://www.thecocktaildb.com/images/media/drink/yrtxxp1472719367.jpg,No,9/1/2016 9:42
12734,Chocolate Drink,,Cocoa,Non alcoholic,Coffee mug,Melt the bar in a small amount of boiling water. Add milk. Cook over low heat whipping gently (with a whisk i would assume) until heated well. Don't let it boil! Serve in coffee mug.,https://www.thecocktaildb.com/images/media/drink/q7w4xu1487603180.jpg,No,2/20/2017 15:06
12890,Cranberry Punch,,Punch / Party Drink,Non alcoholic,Punch Bowl,Combine first four ingredients. Stir until sugar is dissolved chill. Then add ginger ale just before serving. Add ice ring to keep punch cold.,https://www.thecocktaildb.com/images/media/drink/mzgaqu1504389248.jpg,No,9/2/2017 22:54
17187,Derby,ClassicIBA,Ordinary Drink,Alcoholic,Cocktail glass,Pour all ingredients into a mixing glass with ice. Stir. Strain into a cocktail glass. Garnish with a sprig of fresh mint in the drink.,https://www.thecocktaildb.com/images/media/drink/52weey1606772672.jpg,No,9/2/2017 11:45
13128,Diesel,,Beer,Alcoholic,Pint glass,Pour the lager first then add the blackcurrant cordial. Top up with the cider. The colour sholud be very dark approaching the colour of Guiness.,https://www.thecocktaildb.com/images/media/drink/sxrrqq1454512852.jpg,No,2/3/2016 15:20
11006,Daiquiri,IBAClassicBeach,Ordinary Drink,Alcoholic,Cocktail glass,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,https://www.thecocktaildb.com/images/media/drink/mrz9091589574515.jpg,Yes,8/18/2015 15:06
15409,Danbooka,,Coffee / Tea,Alcoholic,Coffee Mug,pour it in and mix it.,https://www.thecocktaildb.com/images/media/drink/vurrxr1441246074.jpg,No,9/3/2015 3:07
16991,Downshift,,Punch / Party Drink,Alcoholic,Hurricane glass,Start with the Sprite. Next comes the tequila. After that add the Minute Maid Fruit Punch then float the 151. Rocks optional.,https://www.thecocktaildb.com/images/media/drink/y36z8c1503563911.jpg,No,8/24/2017 9:38
11320,Dragonfly,,Ordinary Drink,Alcoholic,Highball glass,In a highball glass almost filled with ice cubes combine the gin and ginger ale. Stir well. Garnish with the lime wedge.,https://www.thecocktaildb.com/images/media/drink/uc63bh1582483589.jpg,Yes,9/2/2017 22:51
11005,Dry Martini,IBAClassicChristmasAlcoholic,Cocktail,Alcoholic,Cocktail glass,Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink or garnish with olive.,https://www.thecocktaildb.com/images/media/drink/6ck9yi1589574317.jpg,Yes,9/2/2017 12:51
11324,Dry Rob Roy,,Ordinary Drink,Alcoholic,Cocktail glass,In a mixing glass half-filled with ice cubes combine the Scotch and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist.,https://www.thecocktaildb.com/images/media/drink/typuyq1439456976.jpg,No,
14466,Dirty Nipple,,Shot,Alcoholic,Shot glass,This is a layered shot - the Bailey's must be on top,https://www.thecocktaildb.com/images/media/drink/vtyqrt1461866508.jpg,No,4/28/2016 19:01
17181,Dirty Martini,IBANewEra,Cocktail,Alcoholic,Cocktail glass,"Pour the vodka dry vermouth and olive brine into a cocktail shaker with a handful of ice and shake well.
Rub the rim of a martini glass with the wedge of lemon.
Strain the contents of the cocktail shaker into the glass and add the olive.
A dirty Martini contains a splash of olive brine or olive juice and is typically garnished with an olive.",https://www.thecocktaildb.com/images/media/drink/vcyvpq1485083300.jpg,No,1/22/2017 11:08
14482,Darkwood Sling,,Soft Drink,Alcoholic,Cocktail glass,There are many good cherry liqueurs you can use but I prefere Heering. Add one share of the liqueur. Then you add one share of Soda. For a sour sling use Tonic (most people prefer the drink without Tonic). Afterwards you fill the glass with Orange Juice and ice cubes.,https://www.thecocktaildb.com/images/media/drink/sxxsyq1472719303.jpg,No,9/1/2016 9:41
17211,Dark and Stormy,IBANewEra,Ordinary Drink,Alcoholic,Highball glass,In a highball glass filled with ice add 6cl dark rum and top with ginger beer. Garnish with lime wedge.,https://www.thecocktaildb.com/images/media/drink/t1tn0s1504374905.jpg,No,9/2/2017 18:55
17177,Dark Caipirinha,,Cocktail,Alcoholic,Highball glass,"Muddle the sugar into the lime wedges in an old-fashioned glass.
Fill the glass with ice cubes.
Pour the cachaca into the glass.
Stir well.",https://www.thecocktaildb.com/images/media/drink/uwstrx1472406058.jpg,Yes,8/28/2016 18:40
17182,Duchamp's Punch,,Cocktail,Alcoholic,Old-fashioned glass,"Shake all ingredients.
Double strain in a chilled double old fashioned glass with abig ice cube.
Garnish with a couple of lavender sprigs",https://www.thecocktaildb.com/images/media/drink/g51naw1485084685.jpg,No,1/22/2017 11:31
