Drink_ID,Measure1,Measure2,Measure3,Measure4,Measure5,Measure6,Measure7,Measure8,Measure9,Measure10,Measure11
11690,1 oz ,1/2 oz ,1/2 oz ,1 1/2 oz ,1,,,,,,
11728,1 2/3 oz ,1/3 oz ,1,,,,,,,,
178343,4 oz,4 oz,1 tblsp,Dash,Dash,Dash,,,,,
11008,3/4 oz ,2 1/2 oz Blended ,dash ,2 or 3 ,1,1 twist of ,,,,,
11007,1 1/2 oz ,1/2 oz ,1 oz ,,,,,,,,
178370,3 cl,1 cl,Full Glass,,,,,,,,
17206,4 fresh ,2 1/2 oz ,1 tsp ,2 tsp ,,,,,,,
16041,750 ml ,1 L ,750 ml ,,,,,,,,
17256,1 1/2 oz,1 1/2 oz,1 tsp,2 dashes,,,,,,,
16196,2/5 whole ,2/5 whole ,1/5 whole,,,,,,,,
13936,5 oz Bacardi ,frozen ,frozen ,,,,,,,,
11009,2 oz ,2 oz ,8 oz ,,,,,,,,
12988,3 cups ,1 cup ,12,2,1,750 ml ,1/4 cup ,,,,
12774,2 cups ,3-4 tsp ,1 chunk dried ,3-4 crushed ,3,1 piece ,1-2 whole ," to taste
",to taste,,
178315,5 cl,2 cl,10 cl,Chopped,Chopped,,,,,,
14209,6 oz ,2 oz ,2 tblsp ,,,,,,,,
178358,3,1 Fresh,Sprig,200 ml,cubes,Top,Garnish with,,,,
15841,1/2 handful ,3 cl ,1/8 L Jamaican ,1/8 L ,8 drops ,,,,,,
17189,2 oz ,1 tsp ,1/2 oz ,1 tsp ,,,,,,,
14842,1 oz ,3/4 oz ,3/4 oz double ,,,,,,,,
17188,1 1/2 oz ,1 oz ,1/2 tsp ,1/2 tsp ,1,,,,,,
11798,1 1/2 oz ,3 oz ,1 dash ,,,,,,,,
11003,1 oz ,1 oz ,1 oz ,,,,,,,,
11844,2 oz ,Juice of 1/2 ,1 tsp ," (Claret)
",,,,,,,
13861,1 part ,1 part ,1 part ,,,,,,,,
13192,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,2 oz ,1 splash ,,,,,
13204,2 oz ,1 oz ,2 oz sweetened ,1 oz ,,,,,,,
12746,2 tsp ,1 tsp ,1/2 tsp ,12 oz ,,,,,,,
11872,1/2 oz white ,1/2 oz ,1/2 oz ,1/2 oz ,1 oz ,,,,,,
17827,2 oz,1 oz,1 oz,,,,,,,,
178371,2 oz,1 oz,1 oz,2 dashes,2 oz,,,,,,
12618,5 cl ,15 cl ,2-3 cl ,,,,,,,,
16995,4 oz ,1 oz ,1 oz ,1 package ,Over ,,,,,,
15330,1 oz ,1 oz ,1 oz ,,,,,,,,
11870,1/2 oz ,1 1/2 oz ,4 oz ,,,,,,,,
11001,4.5 cL,2 dashes,1 cube,dash,,,,,,,
13499,1 oz ,1 oz ,1 oz ,2 scoops ,1,,,,,,
