Drink_ID,Measure1,Measure2,Measure3,Measure4,Measure5,Measure6,Measure7,Measure8,Measure9,Measure10,Measure11
12856,1 cup ,3/4-1 cup ,4 tsp ,1 cup ,4 tsp ,,,,,,
17828,2 oz,1 oz,1/2 oz,,,,,,,,
15006,1 oz ,3/4 oz ,1 splash ,,,,,,,,
15639,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz Bacardi ,1 oz ,,,,,,
12782,6 tblsp ground,1/4 tsp ,4-5 whole green ,,,,,,,,
12402,2 oz ,1 oz ,1 tsp superfine ,3 oz ,1,1,,,,,
12726,2 cups ,1-2 tblsp ,1 dash ,,,,,,,,
14860,3 parts ,1 part ,,,,,,,,,
15515,8 oz ,4 oz ,4 oz ,,,,,,,,
12362,2 oz ,1 tblsp ,3/4 oz ,1,,,,,,,
12370,2 oz ,Juice of 1/2 ,1 tsp ,1/2 slice ,1,,,,,,
12786,1/4 cup Thai ,1/2 cup boiling ,2 tsp sweetened ,cubes,garnish,,,,,,
17247,1 oz,1 oz,1 oz,1 oz,,,,,,,
12418,1 oz ,1 oz ,1/4 tsp ,2 dashes ,Twist of ,,,,,,
17824,50 ml,15 ml,15 ml,75 ml,2 Wedges,1 Slice,1 Large Sprig,,,,
178307,1 shot,1 part,,,,,,,,,
13621,2 measures ,,,,,,,,,,
178330,1 shot,1 shot,1 dash,1 dash,Top,,,,,,
12420,1 1/2 oz ,1 1/2 oz ,1/4 tsp ,1/4 tsp ,2 dashes ,1,,,,,
14602,full glass ,About 8 drops ,,,,,,,,,
12784,black,," pods
",,,,,,,,
17826,50 ml,50 ml,4 oz,,,,,,,,
15178,1 part ,1/2 part ,1 part ,1 splash ,,,,,,,
17218,6 cl,1.5 cl,0.75 cl,,,,,,,,
12450,1 1/2 oz ,1/2 oz ,1/2 oz ,,,,,,,,
17217,6 cl,3 cl,3 cl,1.5 cl,1 dash,1 pinch,,,,,
12444,1 oz ,1/2 oz ,Juice of 1/2 ,1 tsp ,1,,,,,,
12446,2 oz ,1/2 oz ,,,,,,,,,
12436,3 oz ,1 oz ,1 oz ,,,,,,,,
16967,2 oz ,2 oz ,2 oz ,,,,,,,,
178363,5 cl,7 cl,1 Slice,cubes,,,,,,,
178362,1 cup,1/2 shot,1 1/2 shot,,,,,,,,
178364,4 cl,10 cl,1 Slice,,,,,,,,
14167,1 1/2 oz ,3/4 oz ,1,,,,,,,,
15403,2 oz ,,,,,,,,,,
12442,1 1/2 oz ,3/4 oz ,,,,,,,,,
12452,1 1/2 oz ,3 oz ,3 oz unsweetened ,1 tsp ,1 slice ,,,,,,
12460,2 oz ,,,,,,,,,,
12434,1 1/2 oz ,1 tblsp ,2 dashes ,,,,,,,,
12518,1 1/2 oz ,1 oz Green Ginger ,,,,,,,,,
17194,4cl,3cl,2cl,,,,,,,,
13058,1 bottle ,2,1 cup ,3,1 cup ,,,,,,
13056,2 oz white or ,5 oz ,cubes,,,,,,,,
